Semivariogram           tail:NS:data      head:NS:data       direction  1 
   1        0.000      0.00000    16384        0.00000        0.00000
   2        0.000      0.00000        0        0.00000        0.00000
   3        1.000      0.01572    16256        0.00219       -0.00248
   4        2.000      0.05815    16128        0.00441       -0.00513
   5        3.000      0.12448    16000        0.00622       -0.00783
   6        4.000      0.21022    15872        0.00758       -0.01068
   7        5.040      0.31335    77986        0.00740       -0.01318
   8        6.055      0.42264    46604        0.00858       -0.01786
   9        7.057      0.52698    76480        0.00838       -0.01857
  10        8.050      0.62977    75848        0.00815       -0.02419
  11        9.000      0.71928    75218        0.00760       -0.02847
  12       10.020      0.80049    74356        0.00751       -0.03075
  13       11.030      0.87714    44694        0.00558       -0.03885
  14       12.047      0.92069   101654        0.00574       -0.03736
  15       13.022      0.96140   100780        0.00345       -0.04268
  16       13.986      0.99448    71838        0.00050       -0.04767
  17       15.014      1.00659    70774        0.00104       -0.04673
  18       16.021      1.02703    42784       -0.00520       -0.05194
  19       17.021      1.01276   150672       -0.00064       -0.04708
  20       18.024      1.01592    95772       -0.00826       -0.04993
  21       19.000      1.01827    68478       -0.01490       -0.04854
  22       20.012      1.00249   121052       -0.01466       -0.04633
